holder,district,address_street,address_building,square,contract,contract_day_start,contract_day_finish,contract_price
АПТЕКА N318,Сихівський,Довженка О.,6,314.9,6223,03.02.2000,03.02.2015,3148.67
АПТЕКА N49,Личаківський,Личакiвська,57,174.2,Л-9067-14,26.06.2014,25.06.2017,8319.15
Аптека № 296 КП ЛОР,Сихівський,Сихiвська,14,222.5,С-9406-15,05.02.2015,04.02.2018,5124.7
АПТЕКА №1 ДКП,Галицький,Фредра О.,2,373.7,Г-10152-16,24.06.2016,20.06.2019,760.5
Аптека №44 ТзОВ,Франківський,Симоненка В.,4,577.3,Ф-10501-17,23.02.2017,23.02.2022,223.7
Аптека №44 ТзОВ,Франківський,Симоненка В.,4,18.1,Ф-9555-15,28.04.2015,24.04.2020,55.26
Аптека №44 ТзОВ,Франківський,Симоненка В.,4,20.5,Ф-9556-15,28.04.2015,24.04.2020,54.38
Аптека Довіри ТзОВ,Шевченківський,Миколайчука I.,9,20.2,Ш-10205-16,15.11.2016,14.11.2019,139.7
Аптека Довіри ТзОВ,Залізничний,Повiтряна,99,53.3,З-10206-16,15.11.2016,15.10.2019,362.81
Аптека Довіри ТзОВ,Залізничний,Повiтряна,99,18,З-10454-17,27.01.2017,27.12.2019,118.13
Аптека на Новому Львові,Сихівський,Тернопiльська,19,73.7,С-10497-17,22.02.2017,22.02.2019,455.93
Аптека Фарм-Проект ПП,Шевченківський,Миколайчука I.,9,18.6,Ш-9691-15,28.08.2015,27.08.2018,108.01
АРАЛІЯ,Залізничний,Вовчка Марка,31,145.9,З-9897-15,05.11.2015,04.11.2018,6960.53
Аржанова О.В.,Личаківський,Заньковецької М.,7,31.1,Л-7607-10,08.10.2010,08.10.2016,567.33
АС-Авто-Транс ПП,Сихівський,Зелена,214,7.1,С-9532-15,10.04.2015,09.04.2018,1340.75
Асоціація  АВТОКОМПЛЕКС  Шевченківськог р-ну м.Льв,Шевченківський,Заводська, 30а,33.3,Ш-7484-10,25.03.2010,20.01.2017,665.98
Асоціація  Правозахисників України ГО,Галицький,Стецька Я.,8,18.2,Г-9059-14,23.06.2014,22.06.2017,253.43
Асоціація ІНВАЛІДІВ  ЛО,Залізничний,Петлюри С., 2а,33.9,З-10456-17,27.01.2017,26.01.2020,3144.88
Асоціація ІНВАЛІДІВ  ЛО,Франківський,Чупринки Т. ген.,85,184.3,Ф-10141-16,17.06.2016,13.06.2021,2147.25
Асоціація кік-боксингу Львівська молодіжна МГО,Галицький,Данила Галицького пл.,14,28.9,Г-10096-16,13.05.2016,12.05.2019,35.68
Асоціація кік-боксингу Львівська молодіжна МГО,Галицький,Піша,1,50.5,Г-10097-16,13.05.2016,12.05.2019,62.35
Асоціація МІСТ УКРАЇНИ ЛЬВІВСЬКЕ РЕГІОНАЛЬНЕ ВІДДІ,Галицький,Чупринки Т. ген.,5,132.1,Г-1085,29.07.2002,29.07.2007,1 грн. в рік
Асоціація самоврядних ринків України ГО,Шевченківський,Рапопорта Я.,8,272.4,Ш-9917-15,02.12.2015,01.12.2018,13766.89
Аугуст Володимир Євгенович ФОП,Залізничний,Виговського I.,72,5,З-9140-14,21.08.2014,17.08.2017,361.2
Бабаєв Джафар Алі-огли ФОП,Франківський,Бандери С.,31,54.6,Ф-24-16суб,02.03.2016,28.02.2017,8051.77
Бабаєв Джафар Алі-огли ФОП,Галицький,Коперника М.,39,47.9,Г-23-16суб,02.03.2016,28.02.2017,6575.54
Бабик Я.В.,Шевченківський,Мазепи I. гетьмана,20,64.7,Ш-8157-12,21.02.2012,19.02.2018,4467.78
Бабик Я.В.,Шевченківський,Мазепи I. гетьмана,20,94.5,210/Ш,22.11.2010,30.11.2011,2732.11
Бабляк С. Д.,Личаківський,Грицая Д. ген.,15,23.1,Л-9968-16,09.02.2016,08.02.2019,299.29
Бадьорість ЛКП,Франківський,Героїв УПА(кол.Тургенєва),35,2215.5,Ф-7271-9,21.08.2009,20.08.2012,1 грн. в рік
Бадьорість ТзОВ,Франківський,Героїв УПА(кол.Тургенєва),35,2215.5,149/Ф,27.11.2009,01.08.2012,25836.22
БАЙТ,Личаківський,Гуцульська,2,27.8,Г-8158-12,22.02.2012,22.02.2017,1336.46
Балаш Б. А.,Галицький,Катедральна пл.,2,17.3,Г-9297-14,19.12.2014,16.12.2017,503.96
Балух Т. І.,Галицький,Лемика М., 32а,26.4,Г-9505-15,19.03.2015,18.03.2018,478.14
Бандерівець ЛММГО,Франківський,Федьковича Ю.,5,15.9,Ф-9423-15,17.02.2015,16.02.2018,28.9
Барабаш М. В.,Личаківський,Лисенка М.,14,38.7,Л-9994-16,26.02.2016,25.02.2019,508.62
Баракова О.М.,Франківський,Горської А.,2,14.1,Ф-6034-8,27.02.2008,24.07.2017,1243.55
Баран Володимир Афанасійович ПП,Франківський,Героїв УПА(кол.Тургенєва), 80а,250.3,Ф-2478-4,31.12.2004,31.12.2015,3146.13
Барилка Зоряна Богданівна ФОП,Шевченківський,Липинського В.,11,7.4,Ш-10199-16,14.11.2016,13.11.2019,1058.35
Барчак Андрій Антонович ФОП,Франківський,Героїв УПА(кол.Тургенєва),36,66.1,Ф-10373-16,26.12.2016,25.12.2019,6260.22
Басюк Г.П.,Личаківський,Зелена,46,37.3,Л-8497-12,26.11.2012,20.11.2022,391.75
Бевз М.В.,Галицький,Шевченка Т. просп.,25,27,Г-8979-14,28.03.2014,27.03.2017,398.69
Бекесевич Ю. В.,Личаківський,Голубця М., 9а,72.9,Л-10426-17,10.01.2017,09.01.2020,1361.05
Бенько Юрій Іванович ФОП,Шевченківський,Миколайчука I.,9,12,Ш-10447-17,26.01.2017,25.01.2020,20.41
БЕРЕГИНЯ,Галицький,Хмельницького Б.,47,23.2,4375,21.08.1996,  Безтерміновий  ,91.74
Березовський А. Р.,Залізничний,Виговського I.,55,34.5,П-125(Д-16),21.06.2016,07.08.2018,1531.02
БЕРІЗКА СДЮШОР з боксу,Шевченківський,Кучера Р. акад.,22,18.1,Ш-8567-13,01.03.2013,25.02.2023,1 грн. за кв. м. в рік
БЕРІЗКА СДЮШОР з боксу,Шевченківський,Кучера Р. акад.,24,115.4,Ш-8568-13,01.03.2013,25.02.2023,1 грн. за кв. м. в рік
БЕРКУТ  ДКМIВЦ,Франківський,Бандери С.,35,23.3,7376,08.10.1991,10.10.2021,90.5
Беркут ЛСДЮСШ,Галицький,Кирила i Мефодiя,12,36.7,Г-9976-16(Д-16),01.04.2016,11.02.2019,45.29
Беркут ЛСДЮСШ,Франківський,Остроградських,12,124.7,Ф-10053-16,19.04.2016,18.04.2019,153.83
Біблійна просвіта ГО,Личаківський,Тершаківцiв,4,18.8,Л-9661-15,24.06.2015,23.06.2018,245.78
БІБЛЬОС  ФАБРИКА ПАПЕРОВО-БІЛОВИХ ВИРОБІВ,Франківський,Японська,8,47.6,Ф-5509-7,29.08.2007,26.08.2019,1219.01
Бізнес-центр Лемки ТзОВ,Галицький,Ринок пл.,11,31.7,Г-9381-15,22.01.2015,21.01.2018,20323.28
Бійцівський Клуб- Гранд ПП,Сихівський,Чукарiна В.,3,139.1,С-9686-15,10.07.2015,09.07.2018,1 грн. в рік освіта
БІЛИЙ ЛЕБІДЬ  ТзОВ,Сихівський,Червоної Калини,38,65.45,С-8926-14,28.01.2014,28.01.2019,2127.55
Білик І. В.,Сихівський,Червоної Калини,68,4,С-9370-15,15.05.2015,14.05.2018,19.19
